polling_place_key,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Doylestown Fire Company #1 | 68 Shewell Ave Doylestown PA 18901 | Doylestown,592,229,342,371,80,169,62.67,49.42,34.93,1163,620,53.31,Doylestown Fire Company #1,68 Shewell Ave Doylestown PA 18901,Doylestown,08021,08021-1,Doylestown Borough 2 - 1
Doylestown Township Building | 425 Wells Rd Doylestown PA 18901 | Doylestown,1386,672,1512,930,280,901,67.1,59.59,41.67,3570,2111,59.13,Doylestown Township Building,425 Wells Rd Doylestown PA 18901,Doylestown,09010; 09080,09010-1; 09080-1,Doylestown Twp. District 1; Doylestown Twp. District 8
Dublin Fire House | 194 N Main St Dublin PA 18917 | Dublin,545,355,731,285,91,324,52.29,44.32,25.63,1631,700,42.92,Dublin Fire House,194 N Main St Dublin PA 18917,Dublin,10000,10000-1,Dublin Borough
Durham Township Building | 215 Old Furnace Rd Durham PA 18039 | Durham,274,173,506,179,62,270,65.33,53.36,35.84,953,511,53.62,Durham Township Building,215 Old Furnace Rd Durham PA 18039,Durham,11000,11000-1,Durham Twp.
East Swamp church youth center | 2405 E Swamp Rd Quakertown PA 18951 | Quakertown,371,211,821,232,71,390,62.53,47.5,33.65,1403,693,49.39,East Swamp church youth center,2405 E Swamp Rd Quakertown PA 18951,Quakertown,23020,23020-1,Milford Twp. Roseville
Edgewood Elementary School | 899 Oxford Valley Rd Morrisville PA 19067 | Yardley,1387,672,1086,937,322,579,67.56,53.31,47.92,3145,1838,58.44,Edgewood Elementary School,899 Oxford Valley Rd Morrisville PA 19067,Yardley,20025; 20026; 20028,20025-1; 20026-1; 20028-1,Lower Makefield Twp. South 5; Lower Makefield Twp. South 6; Lower Makefield Twp. South 8
Eleanor Roosevelt Elementary School | 185 Walton Dr Morrisville PA 19067 | Morrisville,2413,1036,1346,1200,299,592,49.73,43.98,28.86,4795,2091,43.61,Eleanor Roosevelt Elementary School,185 Walton Dr Morrisville PA 19067,Morrisville,13013; 13015; 13016,13013-1; 13015-1; 13016-1,Falls Twp. 1 - 3; Falls Twp. 1 - 5; Falls Twp. 1 - 6
Emmaus Road Lutheran Church | 2185 Bristol Oxford Valley Rd Levittown PA 19057 | Levittown,1114,439,1088,589,109,487,52.87,44.76,24.83,2641,1185,44.87,Emmaus Road Lutheran Church,2185 Bristol Oxford Valley Rd Levittown PA 19057,Levittown,22060; 22090,22060-1; 22090-1,Middletown Twp. Lower 6; Middletown Twp. Lower 9
Everett A. McDonald Elementary School | 666 Reeves Ln Warminster PA 18974 | Warminster,1225,502,1507,669,139,675,54.61,44.79,27.69,3234,1483,45.86,Everett A. McDonald Elementary School,666 Reeves Ln Warminster PA 18974,Warminster,49050; 49110,49050-1; 49110-1,Warminster Twp. District 11; Warminster Twp. District 5
Fallsington Elementary School | 134 Yardley Ave Fallsington PA 19054 | Fallsington,1745,784,1256,757,145,449,43.38,35.75,18.49,3785,1351,35.69,Fallsington Elementary School,134 Yardley Ave Fallsington PA 19054,Fallsington,13011; 13017,13011-1; 13017-1,Falls Twp. 1 - 1; Falls Twp. 1 - 7
